Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,40.24,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,62.41,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,52.55,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.6667,0.5333,42.49,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.6667,0.5333,59.87,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,54.19,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,27.87,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,34.8,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,56.7,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.6667,0.5333,55.7,"[0, 100, 0, 200]",0.4444,0.6667,300
11,0.6667,0.5333,37.86,"[0, 100, 0, 200]",0.4444,0.6667,300
12,0.6667,0.5333,28.16,"[0, 100, 0, 200]",0.4444,0.6667,300
13,0.3333,0.1667,34.12,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,28.59,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,27.44,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.6667,0.5333,27.31,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.3333,0.1667,34.12,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,28.59,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.3333,0.1667,27.44,"[100, 0, 200, 0]",0.1111,0.3333,300
20,0.6667,0.5333,27.31,"[0, 100, 0, 200]",0.4444,0.6667,300
21,0.3333,0.1667,34.12,"[100, 0, 200, 0]",0.1111,0.3333,300
22,0.3333,0.1667,28.59,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,27.44,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.6667,0.5333,27.31,"[0, 100, 0, 200]",0.4444,0.6667,300
25,0.9433,0.9428,62.45,"[88, 12, 5, 195]",0.9434,0.9433,300
